id,publication_id,edition_id,title,author_creator,date_period,year,place_of_publishing,publisher,language,subject_keywords,url_original_object
393088,425506,393088,XI-XV դարերի հայ վարքագրությունը,"Տեր-Դավթյան, Ք. Ս.",1980.0,1980.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականության պատմություն Վարքագրութիւն,https://arar.sci.am/dlibra/publication/425506/edition/393088
389798,422361,389798,XX դարի սկզբի հայոց բանաստեղծությունը,"Զաքարյան, Ալմաստ",1973.0,1973.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/422361/edition/389798
374247,405382,374247,Давид Сасунский,,1939.0,1939.0,Ереван,АрмФАН,ru,Эпос Армянский народный эпос,https://arar.sci.am/dlibra/publication/405382/edition/374247
374913,406036,374913,Об Армении и армянской культуре,"Эренбург, Илья",1988.0,1988.0,Ереван,АН Армянской ССР,ru,Литературоведение Армянская литература Русская литература Армения и армянская культура Русско-армянские литературные связи,https://arar.sci.am/dlibra/publication/406036/edition/374913
408624,442577,408624,Об Армении и армянской культуре,"Брюсов, Валерий",1963.0,1963.0,Ереван,Изд-во АН АрмССР,rus,Литературоведение Армянская литература,https://arar.sci.am/dlibra/publication/442577/edition/408624
377902,408651,377902,Ованес Туманян в годы Первой мировой войны,,2018.0,2018.0,Ереван,«Гитутюн» НАН РА,ru,"Художественная литература Поэзия Армянская литература История Первая мировая война, 1914-1918 История армянского народа Писатели армянские в Первой мировой войне, 1914-1918",https://arar.sci.am/dlibra/publication/408651/edition/377902
402713,434959,402713,Աբրահամ Խոստովանողի «Վկայք Արեւելիցը»,"Տէր-Պետրոսյան, Լ․ Հ․",1976.0,1976.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Աղբյուրագիտություն Թարգմանական գրականություն Բնագրագիտություն,https://arar.sci.am/dlibra/publication/434959/edition/402713
374846,405987,374846,Ագապիի պատմությունը,,1953.0,1953.0,Երևան,ԳԱ հրատ.,hy,Հայ գրականություն Վեպ,https://arar.sci.am/dlibra/publication/405987/edition/374846
377413,408165,377413,Ադրբեջանական ժողովրդի գրականությունը,"Արիֆ, Մ.",1961.0,1961.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Ադրբեջանական գրականության պատմություն,https://arar.sci.am/dlibra/publication/408165/edition/377413
375195,406203,375195,Ազատ Վշտունի,"Ղազարյան, Հովհ.",1959.0,1959.0,Երևան,ՀՍՍՌ ԳԱ հրատ․,hy,Հայ գրականագիտություն Հայ գրողներ,https://arar.sci.am/dlibra/publication/406203/edition/375195
376374,407230,376374,Ազարիա Ադելյան,"Դանիելյան, Ս.",1964.0,1964.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրողներ Ազարիա Ադելյան,https://arar.sci.am/dlibra/publication/407230/edition/376374
376396,407270,376396,Աթաբեկ Խնկոյան,"Գյուլնազարյան, Խաժակ",1968.0,1968.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,"Խնկո Ապեր, 1870-1935 Հայ գրականագիտություն Հայ գրողներ",https://arar.sci.am/dlibra/publication/407270/edition/376396
376241,407130,376241,Ալեքսանդր Ծատուրյան,"Բեժանյան, Ա. Ա.",1960.0,1960.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Ալեքսանդր Ծատուրյան,https://arar.sci.am/dlibra/publication/407130/edition/376241
404501,436387,404501,Ակադեմիկոս Էդվարդ Ջրբաշյանի ծննդյան 100-ամյակին նվիրված հոբելյանական գիտաժողովի նյութերի ժողովածու,,2023.0,2023.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,"Էդվարդ Մկրտչի, Ջրբաշյան Հայ անվանի գրողներ Գիտաժողովի նյութերի ժողովածու",https://arar.sci.am/dlibra/publication/436387/edition/404501
401350,434151,401350,Ակնարկներ հայ երգիծական գրականության պատմության (1920-1980-ական թթ.),"Բոդոսյան, Ս. Ս.",1991.0,1991.0,Երևան,Հայաստանի ԳԱ հրատ.,hy,Հայ գրականություն Երգիծանք Հայ երգիծական գրականություն,https://arar.sci.am/dlibra/publication/434151/edition/401350
378263,409351,378263,Ակնարկներ հայ մանկական գրականության պատմության,"Գյուլնազարյան, Խ. Մ.",1961.0,1961.0,Երևան,Հայկական ՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Մանկական գրականություն,https://arar.sci.am/dlibra/publication/409351/edition/378263
379741,410950,379741,Ակսել Բակունց,"Աղաբաբյան, Սուրեն",1963.0,1963.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրողներ,https://arar.sci.am/dlibra/publication/410950/edition/379741
375196,406204,375196,Ակսել Բակունցի ստեղծագործությունը,,1959.0,1959.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Ակսել Բակունց Հայ գրականագիտություն Հայ գրողներ,https://arar.sci.am/dlibra/publication/406204/edition/375196
408644,442634,408644,Անտիպ երկերի ժողովածու,Սիամանթօ,2002.0,2002.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,Արևմտահայ գրականություն,https://arar.sci.am/dlibra/publication/442634/edition/408644
